"","name","wilcoxP","cdEst","cdMag"
"257","hostap-ct",0.763712020214959,0.00795967565198335,"negligible"
"258","htmlparser",0.902984947921909,0.00234933158010081,"negligible"
"259","hue",0.999777192796788,-0.00146833223756301,"negligible"
"260","HUSACCT",0.220237746684822,-0.0399649353495507,"negligible"
"261","hxcpp",0.852023448662321,0.00438308130615823,"negligible"
"262","i2p",0.572414810363817,0.0162436993206224,"negligible"
"263","iaf",0.858268500199384,0.00413105413105413,"negligible"
"264","ibis-ipl",0.745464807519288,-0.0116699539776463,"negligible"
"265","icefaces",0.00410516752380077,0.0886215209292132,"negligible"
"266","icemobile",0.0855549603818971,0.0525093140477756,"negligible"
"267","igraph",0.509521845854044,0.0192329607714223,"negligible"
"268","IGV",0.0560187050635039,-0.061468332237563,"negligible"
"269","ikvm",0.373036864728324,-0.029445540214771,"negligible"
"270","ikvm-fork",0.00413973993723484,-0.0914924391847469,"negligible"
"271","infinispan",0.130715333408012,0.0459653736576814,"negligible"
"272","infoglue2",0.0436368332902557,0.0618584264738111,"negligible"
"273","intellij-plugins",0.551885830292467,0.017201402586018,"negligible"
"274","iostest",8.86695688386891e-06,0.138001314924392,"negligible"
"275","ironmine",0.374987888782623,0.0263751917598071,"negligible"
"276","iSENSE-Hardware",0.0123913035500952,0.0770304624150778,"negligible"
"277","iSoul",0.90663506948117,0.00220468989699759,"negligible"
"278","itext",0.685441945726991,0.0112382204689897,"negligible"
"279","itinerennes-android",2.25381111653141e-05,-0.134523339907955,"negligible"
"280","ITKApps",0.479098913103186,0.0207407407407407,"negligible"
"281","ivory",4.7084991975571e-45,0.440677186061801,"medium"
"282","Ivory",0.0569402371396952,0.0582905982905983,"negligible"
"283","izpack",0.717527623417374,-0.0128380451457375,"negligible"
"284","izpack-full-svn-history-copy",0.340695366337784,0.0284374315143546,"negligible"
"285","jabref",0.0266936998279629,0.068088976550515,"negligible"
"286","jackrabbit-oak",0.23190805418888,0.0360574183651107,"negligible"
"287","jacorb",3.18884223107282e-06,0.144755643217182,"negligible"
"288","JacORB",2.80880022334126e-14,0.237317554240631,"small"
"289","jain-slee",0.120681954514935,0.0472408503177734,"negligible"
"290","jas",0.000535125435499654,0.107218934911243,"negligible"
"291","jato",0.075822772229158,0.0542603550295858,"negligible"
"292","java-gnome",0.738078654597752,-0.0119789612097304,"negligible"
"293","javapackages",0.961246795450608,4.82138943677393e-05,"negligible"
"294","jaxb",0.0121156169975349,0.0772781065088757,"negligible"
"295","jaxws",0.000685360636437887,0.105115055884287,"negligible"
"296","jboss-messaging",0.00155759264843648,0.097839140916064,"negligible"
"297","jboss-vfs",1.13179831626918e-05,0.136346701731317,"negligible"
"298","jbpm-designer",0.373186719935729,0.0264781941705019,"negligible"
"299","jCAE",0.472016631421436,0.0211023449484988,"negligible"
"300","jclouds",1.73292877918666e-10,0.19891080429542,"small"
"301","jEdit",0.733973926488672,-0.0121499013806706,"negligible"
"302","jena-core",2.32925789240704e-05,-0.134293228139382,"negligible"
"303","jersey-1",0.983736200367625,-0.000834976988823141,"negligible"
"304","jetty-project",0.980060830849718,-0.0022660530352838,"negligible"
"305","jetty-spdy",0.301960594083898,0.0309270216962525,"negligible"
"306","jgralab",2.21838723872179e-07,0.161137409598948,"small"
"307","jgralab-dhht",3.7579071323389e-27,0.337306596537366,"medium"
"308","jgrapht",0.924581017678928,0.00149682226605304,"negligible"
"309","jmxtrans",0.885097333678943,0.00305939075169844,"negligible"
"310","jogl",1.23406645050643e-21,0.298483453868069,"small"
"311","jOOQ",0.149371660825715,0.0437825991672146,"negligible"
"312","jop",0.71387871633758,-0.0129892614507999,"negligible"
"313","joshua",5.40599416623157e-06,0.141308349769888,"negligible"
"314","jpcsp",1.03682888303124e-16,-0.262051282051282,"small"
"315","jscep",0.297018003870664,-0.0342187157571773,"negligible"
"316","jspwiki",6.82358718120347e-23,0.307797501643655,"small"
"317","jython",0.383007136970524,-0.0288669734823581,"negligible"
"318","jython-legacy",0.108991941522686,0.0488450580758273,"negligible"
"319","k-9",0.864522433641711,0.00387902695595003,"negligible"
"320","kaffe",0.155331149373408,0.043129520052597,"negligible"
"321","katta",0.140705263881955,0.0447731755424063,"negligible"
"322","kde-owncloud",0.991199293818261,-0.0018255533640149,"negligible"
"323","killbill",0.226072682914718,0.0365264080648696,"negligible"
"324","Kramerius",0.65593009386014,0.0125115055884287,"negligible"
"325","L2jFrozenInterlude",0.191871456488818,-0.0424501424501425,"negligible"
