"","proj","AUC","Brier","Chi","Pval"
"248","grizzly-mirror",0.772136485926248,0.185228246419209,NA,NA
"249","groovy",0.775148838576975,0.140777970502501,NA,NA
"250","gSDL",0.746825259842997,0.182607702121202,NA,NA
"251","guicey",0.813927359887049,0.174328180960343,NA,NA
"252","gwt",0.757659316477052,0.193811118657473,NA,NA
"253","gwtquery",0.76356968931281,0.184647459218849,NA,NA
"254","h-store",0.793712464913752,0.185960065521566,NA,NA
"255","h2-bitmap",0.750069737555673,0.0780138396909757,NA,NA
"256","H2-Mirror",NA,NA,NA,NA
"257","hadoop",0.77450725183674,0.149118137760875,NA,NA
"258","hadoop-1",0.818089747678475,0.138287002795887,NA,NA
"259","hadoop-fork",0.738927108022021,0.160564342938764,NA,NA
"260","haxe",0.795835292527556,0.140547026912728,NA,NA
"261","hbase_namespace",0.78914275071345,0.15345765058192,NA,NA
"262","hbird",0.796613836207078,0.145930703743493,NA,NA
"263","hermes",0.822421076390463,0.144198147236029,NA,NA
"264","hibernate-orm",0.763142988728916,0.182762008272958,NA,NA
"265","highcharts",0.776874217574763,0.163584513019346,NA,NA
"266","hive",0.76632762276751,0.0865193705587771,NA,NA
"267","hk2",0.855340828780004,0.11541509019386,NA,NA
"268","HoloEverywhere",0.814717441499825,0.161754799507233,NA,NA
"269","hornetq-old",0.794388374046748,0.175538330150435,NA,NA
"270","hostap-ct",0.777268603775436,0.0574025979403916,NA,NA
"271","htmlparser",0.713241744552015,0.21319077894037,NA,NA
"272","hue",0.731540321388703,0.112071779029794,NA,NA
"273","HUSACCT",0.800501072777525,0.174344019214155,NA,NA
"274","hxcpp",0.781274979771105,0.127656279561752,NA,NA
"275","i2p",0.821885578173382,0.122143569425179,NA,NA
"276","iaf",0.710616554696998,0.134703646656912,NA,NA
"277","ibis-ipl",0.772093646691486,0.161554711290266,NA,NA
"278","icefaces",0.766796893181924,0.0835383369837701,NA,NA
"279","icemobile",0.759875450046119,0.0821584679233662,NA,NA
"280","igraph",0.851124521162365,0.0965217179517525,NA,NA
"281","IGV",0.743010934553418,0.179286824763715,NA,NA
"282","ikvm",0.678256504627012,0.149279733476393,NA,NA
"283","ikvm-fork",0.677386818752664,0.157460349013917,NA,NA
"284","infinispan",0.747249036376591,0.179441886845957,NA,NA
"285","infoglue2",0.712252759675997,0.179197805721993,NA,NA
